idx,center_long,center_lat,long_1,long_2,lat_1,lat_2,roof_orientation,roof_shape,area,building,height,solar_area,energy_produced,radiance,tilt_angle
45,9.991412302785085,53.55083436224739,9.9913189,9.9915046,53.5507885,53.5508803,nan,nan,29.535054927691817,yes,nan,13.290774717461318,2681.746068615757,1153.0,24.695750926022654
46,9.951699547032248,53.54481337537182,9.9509022,9.9524971,53.5445544,53.5450723,nan,nan,2418.8228340260684,yes,nan,1088.4702753117308,219626.08980102447,1153.0,24.690332037834636
47,9.934140703471169,53.5433446542584,9.9330971,9.9352407,53.5432355,53.5434546,nan,flat,2931.9176960089826,commercial,25,2638.7259264080844,532428.9238009911,1153.0,24.68901018883256
48,9.923923283907282,53.54403295604973,9.923491,9.9243671,53.5438061,53.5442139,nan,nan,1586.7342541199178,commercial,nan,714.030414353963,144073.48685627087,1153.0,24.68962966044476
49,9.922579709462342,53.54394729613504,9.9221641,9.9230033,53.5437333,53.5441182,nan,nan,1787.7947369581088,commercial,nan,804.507631631149,162329.52737237507,1153.0,24.689552566521535
50,9.921213837649525,53.54392463207773,9.9208064,9.9216341,53.543731,53.5440786,nan,nan,1625.4341706439443,commercial,nan,731.445376789775,147587.39090175682,1153.0,24.68953216886996
51,9.919904849531632,53.543926370158935,9.9194961,9.9203163,53.54372,53.5440777,nan,nan,1646.2381475486036,commercial,nan,740.8071663968716,149476.36599972876,1153.0,24.689533733143044
52,9.938628935561905,53.56496790351922,9.9369271,9.9402153,53.5641162,53.5657408,nan,nan,19725.043948132545,warehouse,nan,8876.269776659645,1791009.3341854997,1153.0,24.7084711131673
53,9.95218426008274,53.57551417495267,9.9515521,9.9529268,53.5750743,53.5759541,nan,nan,5243.400959507562,retail,nan,2359.530431778403,475681.33504652604,1152.0,24.717962757457407
54,9.847757027749829,53.47364681742298,9.8469388,9.8485728,53.4732571,53.4739943,nan,nan,6635.388424158096,retail,nan,2985.9247908711436,603007.5115164274,1154.0,24.626282135680682
55,10.019525083876427,53.549251010111895,10.0186021,10.0204526,53.5489091,53.5495922,nan,nan,3337.0239149034023,yes,nan,1501.660761706531,303260.39082663396,1154.0,24.694325909100705
56,10.013825106872458,53.54723011848544,10.0134558,10.0142364,53.5470684,53.5474036,nan,flat,690.5465924926102,office,nan,621.4919332433492,125401.53483017677,1153.0,24.692507106636896
57,10.04364662060004,53.6003803802047,10.0432337,10.0440664,53.6001358,53.6006114,nan,nan,1773.2347835777327,school,nan,797.9556526099798,160728.21732696515,1151.0,24.740342342184228
58,9.905694957497792,53.58056153572763,9.9054023,9.9060033,53.5804205,53.5806954,nan,half-hipped,599.3993637599051,commercial,nan,269.72971369195733,54377.51028029859,1152.0,24.72250538215487
59,9.974632138781187,53.56177886499426,9.9739166,9.9754072,53.5611158,53.5623772,nan,nan,12214.74821270071,yes,nan,5496.63669571532,1109083.8692779585,1153.0,24.705600978494836
60,9.973155217186052,53.56179852749317,9.9728633,9.9734471,53.5612662,53.5623309,nan,nan,4028.460732394131,industrial,nan,1812.807329577359,365779.1989254716,1153.0,24.705618674743853
61,9.82718326554727,53.58277620408576,9.8270605,9.8273185,53.5827093,53.5828327,nan,nan,168.23940968839452,yes,nan,75.70773435977753,15262.67924693115,1152.0,24.72449858367719
62,9.942914665038703,53.59502384077975,9.9425797,9.9432471,53.5946359,53.5954079,nan,flat,2667.110559012741,parking,nan,2400.399503111467,483500.46991422714,1151.0,24.735521456701775
63,9.926668718070308,53.57249830328025,9.9261589,9.9271777,53.5721522,53.5728457,nan,nan,2875.291620561853,commercial,nan,1293.881229252834,260846.45581737132,1152.0,24.715248472952226
64,9.849817231843977,53.5924355064596,9.8497291,9.8499037,53.5922648,53.5926062,nan,nan,434.2468059682287,yes,nan,195.41106268570294,39360.673301467716,1151.0,24.733191955813645
65,9.853764524452012,53.59242231772072,9.853659,9.8538548,53.5922295,53.5925987,nan,nan,463.6279894679974,yes,nan,208.63259526059883,42023.82050036611,1151.0,24.733180085948646
66,9.85344245,53.5920105,9.8533449,9.85354,53.5917653,53.5922557,nan,nan,665.3567228745669,yes,nan,299.4105252935551,60308.765057254335,1151.0,24.732809450000005
67,9.85381204490117,53.59155602583759,9.8536803,9.8539893,53.5913209,53.5917757,nan,nan,626.5396025654918,yes,nan,281.94282115447135,56790.33275103939,1151.0,24.732400423253836
68,9.853308653384769,53.59033537870309,9.8527686,9.853861,53.5902111,53.5904642,nan,flat,1323.327287433669,yes,nan,1190.994558690302,239896.07898419406,1151.0,24.731301840832778
69,9.978916525862484,53.5484025484806,9.9783359,9.9794658,53.548152,53.5486572,nan,nan,2696.271334494668,church,24,1213.3221005226005,244818.0668329477,1153.0,24.693562293632546
